ruleKey;remediationFunction;remediationFactor
Tics::ProhibitLongLines;linear;5min
Tics::ProhibitManyArrows;linear;5min
Tics::ProhibitUseBase;linear;5min
TryTiny::ProhibitExitingSubroutine;linear;5min
TryTiny::RequireCatch;linear;5min
TryTiny::RequireUse;linear;5min
ValuesAndExpressions::ConstantBeforeLt;linear;5min
ValuesAndExpressions::NotWithCompare;linear;5min
ValuesAndExpressions::ProhibitAccessOfPrivateData;linear;5min
ValuesAndExpressions::ProhibitArrayAssignAref;linear;5min
ValuesAndExpressions::ProhibitBarewordDoubleColon;linear;5min
ValuesAndExpressions::ProhibitCommaSeparatedStatements;linear;5min
ValuesAndExpressions::ProhibitComplexVersion;linear;5min
ValuesAndExpressions::ProhibitConstantPragma;linear;5min
ValuesAndExpressions::ProhibitDuplicateHashKeys;linear;5min
ValuesAndExpressions::ProhibitEmptyCommas;linear;5min
ValuesAndExpressions::ProhibitEmptyQuotes;linear;5min
ValuesAndExpressions::ProhibitEscapedCharacters;linear;5min
ValuesAndExpressions::ProhibitFiletest_f;linear;5min
ValuesAndExpressions::ProhibitImplicitNewlines;linear;5min
ValuesAndExpressions::ProhibitInterpolationOfLiterals;linear;5min
ValuesAndExpressions::ProhibitLeadingZeros;linear;5min
ValuesAndExpressions::ProhibitLongChainsOfMethodCalls;linear;5min
ValuesAndExpressions::ProhibitMagicNumbers;linear;5min
ValuesAndExpressions::ProhibitMismatchedOperators;linear;5min
ValuesAndExpressions::ProhibitMixedBooleanOperators;linear;5min
ValuesAndExpressions::ProhibitNoisyQuotes;linear;5min
ValuesAndExpressions::ProhibitNullStatements;linear;5min
ValuesAndExpressions::ProhibitQuotesAsQuotelikeOperatorDelimiters;linear;5min
ValuesAndExpressions::ProhibitSpecialLiteralHeredocTerminator;linear;5min
ValuesAndExpressions::ProhibitUnknownBackslash;linear;5min
ValuesAndExpressions::ProhibitVersionStrings;linear;5min
ValuesAndExpressions::RequireConstantOnLeftSideOfEquality;linear;5min
ValuesAndExpressions::RequireConstantVersion;linear;5min
ValuesAndExpressions::RequireInterpolationOfMetachars;linear;5min
ValuesAndExpressions::RequireNumberSeparators;linear;5min
ValuesAndExpressions::RequireNumericVersion;linear;5min
ValuesAndExpressions::RequireQuotedHeredocTerminator;linear;5min
ValuesAndExpressions::RequireUpperCaseHeredocTerminator;linear;5min
ValuesAndExpressions::RestrictLongStrings;linear;5min
ValuesAndExpressions::UnexpandedSpecialLiteral;linear;5min
Variables::ProhibitAugmentedAssignmentInDeclaration;linear;5min
Variables::ProhibitConditionalDeclarations;linear;5min
Variables::ProhibitLocalVars;linear;5min
Variables::ProhibitMatchVars;linear;5min
Variables::ProhibitPackageVars;linear;5min
Variables::ProhibitPerl4PackageNames;linear;5min
Variables::ProhibitPunctuationVars;linear;5min
Variables::ProhibitReusedNames;linear;5min
Variables::ProhibitUnusedVariables;linear;5min
Variables::ProhibitUselessInitialization;linear;5min
Variables::ProtectPrivateVars;linear;5min
Variables::RequireInitializationForLocalVars;linear;5min
Variables::RequireLexicalLoopIterators;linear;5min
Variables::RequireLocalizedPunctuationVars;linear;5min
Variables::RequireNegativeIndices;linear;5min
DE_EPAGES::BuiltinFunctions::ProhibitForeachQw;linear;5min
DE_EPAGES::BuiltinFunctions::ProhibitUniversalCanUsePerlTools;linear;5min
DE_EPAGES::BuiltinFunctions::ProhibitUniversalIsaUsePerlTools;linear;5min
DE_EPAGES::ErrorHandling::RequireExistsError;linear;5min
DE_EPAGES::Execution::RequireCompileability;linear;5min
DE_EPAGES::Modules::ProhibitAutomaticExportationNonDAL;linear;5min
DE_EPAGES::Modules::RequireFilenameMatchesPackageHacked;linear;5min
DE_EPAGES::Modules::RequireUtf8BOM;linear;5min
DE_EPAGES::Security::ProhibitVariablesInSQLStatements;linear;5min
DE_EPAGES::Style::ProhibitFunctionSize;linear;5min
DE_EPAGES::Style::RequireArgUnpacking;linear;5min
DE_EPAGES::Style::RequireCommentForExportedFunctions;linear;5min
DE_EPAGES::Style::RequireCorrectImports;linear;5min
DE_EPAGES::Style::RequireExtendedFormatting;linear;5min
DE_EPAGES::Style::RequireFullSentenceComment;linear;5min
DE_EPAGES::Style::RequireSpacesNotTabs;linear;5min
DE_EPAGES::Style::RequireLexicalLoopIteratorsForLongBlocks;linear;5min
DE_EPAGES::Style::RequireParenthesesLastChar;linear;5min
DE_EPAGES::Subroutines::ProhibitPrivateSubroutineUse;linear;5min
DE_EPAGES::Variables::ProhibitPathConcatenation;linear;5min
DE_EPAGES::Variables::ProhibitUnusedVariablesEnhanced;linear;5min
